,Kab_Kota,Zona_ID,Zona_Label,IR_DBD_Aktual,IR_DBD_Prediksi_Jan2026,Kepadatan_jiwa_per_km2,Sanitasi_Layak_Pct,Curah_Hujan_mm,CH_Lag1_mm,Suhu_C,Latitude,Longitude
1,Kota Bandung,0,Zona Merah (Rawan),298.34,306.20435,15395.8,55.0,4445.2,4726.8,21.29,-6.914,107.609
2,Kota Cimahi,0,Zona Merah (Rawan),281.83,276.2254,14860.3,83.87,4321.3,4519.3,21.13,-6.884,107.543
3,Kota Bekasi,1,Zona Kuning (Waspada),260.39,253.0577,12881.0,99.5,3526.8,3920.7,27.49,-6.238,106.975
4,Kota Sukabumi,1,Zona Kuning (Waspada),258.06,261.3256,7599.4,42.76,4024.0,4384.2,23.32,-6.918,106.927
5,Kota Tasikmalaya,1,Zona Kuning (Waspada),249.02,271.8061,4371.6,56.8,4389.2,4929.7,24.12,-7.327,108.219
6,Tasikmalaya,1,Zona Kuning (Waspada),244.34,241.48547,756.1,54.59,4435.2,5055.1,24.58,-7.353,108.224
7,Kota Bogor,1,Zona Kuning (Waspada),242.49,247.67058,9262.6,79.77,3422.0,4033.6,24.81,-6.597,106.806
8,Bandung,1,Zona Kuning (Waspada),238.72,229.2572,2188.5,69.76,4224.1,4488.9,21.64,-7.021,107.57
9,Kota Banjar,1,Zona Kuning (Waspada),237.49,201.35358,1874.9,86.5,3522.6,3784.1,25.13,-7.365,108.538
10,Ciamis,1,Zona Kuning (Waspada),235.26,241.99306,858.9,72.2,4611.1,4904.8,24.56,-7.329,108.351
11,Kota Depok,1,Zona Kuning (Waspada),234.18,245.60114,10824.5,99.5,3611.1,4095.8,24.6,-6.401,106.819
12,Cianjur,1,Zona Kuning (Waspada),234.14,215.00755,685.8,63.01,3979.3,4332.6,23.95,-6.822,107.139
13,Bogor,1,Zona Kuning (Waspada),225.19,198.07893,2036.5,68.17,3282.0,3914.8,24.76,-6.595,106.816
14,Bandung Barat,1,Zona Kuning (Waspada),219.37,218.41469,1463.3,68.29,4139.4,4454.6,20.9,-6.917,107.425
15,Sukabumi,1,Zona Kuning (Waspada),214.24,215.67284,708.0,71.66,4034.8,4216.2,23.99,-6.918,106.929
16,Purwakarta,1,Zona Kuning (Waspada),210.49,203.60086,1134.2,77.77,3596.7,4029.8,24.76,-6.556,107.443
17,Bekasi,1,Zona Kuning (Waspada),205.12,217.72876,2690.5,85.03,3691.1,4053.2,24.81,-6.374,107.13
18,Garut,1,Zona Kuning (Waspada),198.67,202.10896,902.8,48.68,3478.0,3787.6,23.07,-7.212,107.906
19,Karawang,1,Zona Kuning (Waspada),195.32,203.30115,1505.7,82.27,3470.5,4254.8,25.7,-6.321,107.339
20,Pangandaran,1,Zona Kuning (Waspada),181.06,182.44649,417.8,86.42,3262.8,3828.0,25.74,-7.689,108.65
21,Majalengka,2,Zona Hijau (Aman),223.49,181.7304,1103.1,85.57,3369.7,3680.2,22.6,-6.836,108.228
22,Kota Cirebon,2,Zona Hijau (Aman),218.25,240.13298,9360.8,96.88,3124.1,3516.5,27.52,-6.706,108.557
23,Subang,2,Zona Hijau (Aman),191.75,198.97618,859.0,91.44,3564.0,3942.3,25.17,-6.571,107.762
24,Cirebon,2,Zona Hijau (Aman),187.54,186.24051,2293.6,89.23,3156.9,3553.5,24.9,-6.761,108.476
25,Kuningan,2,Zona Hijau (Aman),187.13,182.26178,1045.7,85.67,3107.3,3627.5,24.81,-6.975,108.48
26,Sumedang,2,Zona Hijau (Aman),182.34,188.17015,784.0,91.87,3503.2,3883.5,23.18,-6.855,107.92
27,Indramayu,2,Zona Hijau (Aman),182.14,188.4307,944.5,94.83,3317.4,3553.3,26.4,-6.327,108.324
